✅ День 1;✅ День 2;✅ День 3
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Коммуникация;✅ Коммуникация;✅ Коллаборация
✅ Коллаборация;✅ Коллаборация;✅ Коммуникация
✅ Креативность;✅ Креативность;✅ Креативность
;✅ Критическое мышление;✅ Критическое мышление 
;;
🔑 Ключевые события из типовой план-сетки 2025:;;
✅ «Интервью»;;🔑 Ключевые события из типовой план-сетки 2025:
✅ «Ассоциации»;🔑 Ключевые события из типовой план-сетки 2025:;✅ Создание Движков (первая планёрка будущих Движков)
;✅ «Часики» (упражнение на закрепление знакомства);
✅ Линейка открытия смены;;✅ Турнир-викторина
;✅ Коллективное планирование смены;
✅ Первый Орлятский круг;;✅ Общелагерная игра «Краски»
;✅ Тренинг «Эмоциональный интеллект»;
✅ Вручение Реальных дневников;;✅ «Фантазёры, скептики, реалисты»
;✅ Оформление пространства отрядного уголка;
✅ Экскурсия по территории лагеря;;✅ Мастер-класс по плетению фенечек
;✅ Съёмка видео «Рум тур» ;
✅ Реальная дискотека;;✅ Занятие по работе с ИИ: базовый промтинг
;✅ Тренинг «Тропа доверия»;
;;✅ Мастер-класс по актёрскому мастерству и сценической речи (с нейросетями)
;✅ «Табуреточки» ;
✅ «Нарисуй себя»;;✅ Тренинг «Шкатулка секретов»
;✅ «Дети говорят» (перекрёстное общение по кругу);
✅ «Люблю, не люблю, хочу научиться, могу научить!»;;✅ Игра по станциям на сплочение
;✅ «Мозаика личности»;
✅ «Пресс-конференция»;;✅ Репетиция концерта открытия смены
;✅ Экскурсия по кружкам;
✅ «Ледокол знакомств»;;✅ Игра на знакомство с территорией лагеря и маршрутами
;✅ Лапта / футбол;
✅ Реальный флэшмоб;;✅ Работа над стендом / уголком
;✅ Шоу «В Реальном Лагере»;Оформление общего пространства 
✅ Огонёк-знакомство;;
;✅ Подготовка к концерту открытия смены ;
;;✅ Концерт открытия смены / Шоу «Реальный Лагерь»
;;
;;✅ Прямой эфир для родителей
;;
✅ День 4;✅ День 5;✅ День 6
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Коллаборация;✅ Креативность;✅ Креативность
✅ Креативность;✅ Критическое мышление;✅ Критическое мышление
✅ Коммуникация;✅ Коллаборация;✅ Коллаборация
